Geo_NAME,Pop2010
Andover town,3303
Ansonia town,19249
Ashford town,4317
Avon town,18098
Barkhamsted town,3799
Beacon Falls town,6049
Berlin town,19866
Bethany town,5563
Bethel town,18584
Bethlehem town,3607
Bloomfield town,20486
Bolton town,4980
Bozrah town,2627
Branford town,28026
Bridgeport town,144229
Bridgewater town,1727
Bristol town,60477
Brookfield town,16452
Brooklyn town,8210
Burlington town,9301
Canaan town,1234
Canterbury town,5132
Canton town,10292
Chaplin town,2305
Cheshire town,29261
Chester town,3994
Clinton town,13260
Colchester town,16068
Colebrook town,1485
Columbia town,5485
Cornwall town,1420
Coventry town,12435
Cromwell town,14005
Danbury town,80893
Darien town,20732
Deep River town,4629
Derby town,12902
Durham town,7388
East Granby town,5148
East Haddam town,9126
East Hampton town,12959
East Hartford town,51252
East Haven town,29257
East Lyme town,19159
East Windsor town,11162
Eastford town,1749
Easton town,7490
Ellington town,15602
Enfield town,44654
Essex town,6683
Fairfield town,59404
Farmington town,25340
Franklin town,1922
Glastonbury town,34427
Goshen town,2976
Granby town,11282
Greenwich town,61171
Griswold town,11951
Groton town,40115
Guilford town,22375
Haddam town,8346
Hamden town,60960
Hampton town,1863
Hartford town,124775
Hartland town,2114
Harwinton town,5642
Hebron town,9686
Kent town,2979
Killingly town,17370
Killingworth town,6525
Lebanon town,7308
Ledyard town,15051
Lisbon town,4338
Litchfield town,8466
Lyme town,2406
Madison town,18269
Manchester town,58241
Mansfield town,26543
Marlborough town,6404
Meriden town,60868
Middlebury town,7575
Middlefield town,4425
Middletown town,47648
Milford town,52759
Monroe town,19479
Montville town,19571
Morris town,2388
Naugatuck town,31862
New Britain town,73206
New Canaan town,19738
New Fairfield town,13881
New Hartford town,6970
New Haven town,129779
New London town,27620
New Milford town,28142
Newington town,30562
Newtown town,27560
Norfolk town,1709
North Branford town,14407
North Canaan town,3315
North Haven town,24093
North Stonington town,5297
Norwalk town,85603
Norwich town,40493
Old Lyme town,7603
Old Saybrook town,10242
Orange town,13956
Oxford town,12683
Plainfield town,15405
Plainville town,17716
Plymouth town,12243
Pomfret town,4247
Portland town,9508
Preston town,4726
Prospect town,9405
Putnam town,9584
Redding town,9158
Ridgefield town,24638
Rocky Hill town,19709
Roxbury town,2262
Salem town,4151
Salisbury town,3741
Scotland town,1726
Seymour town,16540
Sharon town,2782
Shelton town,39559
Sherman town,3581
Simsbury town,23511
Somers town,11444
South Windsor town,25709
Southbury town,19904
Southington town,43069
Sprague town,2984
Stafford town,12087
Stamford town,122643
Sterling town,3830
Stonington town,18545
Stratford town,51384
Suffield town,15735
Thomaston town,7887
Thompson town,9458
Tolland town,15052
Torrington town,36383
Trumbull town,36018
Union town,854
Vernon town,29179
Voluntown town,2603
Wallingford town,45135
Warren town,1461
Washington town,3578
Waterbury town,110366
Waterford town,19517
Watertown town,22514
West Hartford town,63268
West Haven town,55564
Westbrook town,6938
Weston town,10179
Westport town,26391
Wethersfield town,26668
Willington town,6041
Wilton town,18062
Winchester town,11242
Windham town,25268
Windsor Locks town,12498
Windsor town,29044
Wolcott town,16680
Woodbridge town,8990
Woodbury town,9975
Woodstock town,7964