town,pop2010,land-sq-miles-2010,density2010
Andover,3303,15.4474569,213.8216
Ansonia,19249,6.018885802,3198.1
Ashford,4317,38.76182283,111.3725
Avon,18098,23.15396365,781.6372
Barkhamsted,3799,36.25374635,104.7892
Beacon Falls,6049,9.66829576,625.6532
Berlin,19866,26.32437525,754.6618
Bethany,5563,21.12921604,263.2847
Bethel,18584,16.88854157,1100.391
Bethlehem,3607,19.37503958,186.1674
Bloomfield,20486,26.08592472,785.3277
Bolton,4980,14.40723277,345.6597
Bozrah,2627,19.96461296,131.5828
Branford,28026,21.83456603,1283.561
Bridgeport,144229,15.97388405,9029.05
Bridgewater,1727,16.39522963,105.3355
Bristol,60477,26.41093936,2289.847
Brookfield,16452,19.77292868,832.0467
Brooklyn,8210,29.09115255,282.2164
Burlington,9301,29.74061965,312.7373
Canaan,1234,32.91234091,37.49353
Canterbury,5132,39.94478121,128.4774
Canton,10292,24.58566758,418.6179
Chaplin,2305,19.42731472,118.6474
Cheshire,29261,33.06952465,884.8328
Chester,3994,16.05147978,248.8244
Clinton,13260,16.20684266,818.1729
Colchester,16068,48.98308409,328.0316
Colebrook,1485,31.5314264,47.09587
Columbia,5485,21.37270443,256.6357
Cornwall,1420,46.06099797,30.82869
Coventry,12435,37.56921499,330.9891
Cromwell,14005,12.45276349,1124.65
Danbury,80893,41.89184815,1930.996
Darien,20732,12.65539609,1638.194
Deep River,4629,13.51356222,342.5448
Derby,12902,5.055472844,2552.086
Durham,7388,23.65904398,312.2696
East Granby,5148,17.56419566,293.0963
East Haddam,9126,54.25331083,168.2109
East Hampton,12959,35.65007405,363.5056
East Hartford,51252,17.99628879,2847.92
East Haven,29257,12.30480682,2377.689
East Lyme,19159,33.9962718,563.5618
East Windsor,11162,26.25070078,425.2077
Eastford,1749,28.92084442,60.47541
Easton,7490,27.41854248,273.1728
Ellington,15602,34.06009294,458.0727
Enfield,44654,33.27030087,1342.158
Essex,6683,10.40243121,642.446
Fairfield,59404,29.90270534,1986.576
Farmington,25340,28.01631513,904.473
Franklin,1922,19.48899532,98.61976
Glastonbury,34427,51.26983754,671.4865
Goshen,2976,43.6314176,68.20773
Granby,11282,40.67812515,277.3481
Greenwich,61171,47.62205848,1284.51
Griswold,11951,34.70655154,344.3442
Groton,40115,31.0307847,1292.749
Guilford,22375,47.11784302,474.8732
Haddam,8346,43.93690164,189.9542
Hamden,60960,32.64635975,1867.283
Hampton,1863,25.09219502,74.24619
Hartford,124775,17.38086972,7178.87
Hartland,2114,33.07935017,63.90694
Harwinton,5642,30.79310329,183.2228
Hebron,9686,36.93698349,262.2304
Kent,2979,48.5500566,61.35935
Killingly,17370,48.30627478,359.5806
Killingworth,6525,35.33088184,184.6826
Lebanon,7308,54.0980298,135.0881
Ledyard,15051,38.21899406,393.8094
Lisbon,4338,16.28693569,266.3484
Litchfield,8466,56.09865683,150.9127
Lyme,2406,31.84044405,75.56427
Madison,18269,36.14733968,505.4037
Manchester,58241,27.40275245,2125.37
Mansfield,26543,44.59940664,595.1425
Marlborough,6404,23.35114912,274.2477
Meriden,60868,23.7930724,2558.224
Middlebury,7575,17.7510058,426.7364
Middlefield,4425,12.64859142,349.8413
Middletown,47648,41.01805568,1161.635
Milford,52759,22.17541085,2379.167
Monroe,19479,26.07260883,747.1059
Montville,19571,41.95422681,466.4846
Morris,2388,17.34600933,137.6685
Naugatuck,31862,16.30768482,1953.803
New Britain,73206,13.39309062,5465.953
New Canaan,19738,22.19472677,889.3104
New Fairfield,13881,20.44198351,679.0437
New Hartford,6970,37.03771292,188.1866
New Haven,129779,18.6786348,6947.992
New London,27620,5.615268488,4918.732
New Milford,28142,61.565981,457.1031
Newington,30562,13.14095509,2325.706
Newtown,27560,57.65862699,477.9857
Norfolk,1709,45.32196751,37.70798
North Branford,14407,24.75733169,581.9286
North Canaan,3315,19.46636664,170.2937
North Haven,24093,20.83975679,1156.108
North Stonington,5297,54.24807219,97.64402
Norwalk,85603,22.85997155,3744.668
Norwich,40493,28.06196785,1442.985
Old Lyme,7603,23.01538386,330.3443
Old Saybrook,10242,15.04407742,680.7995
Orange,13956,17.18105567,812.29
Oxford,12683,32.74198645,387.362
Plainfield,15405,42.35947039,363.6731
Plainville,17716,9.710522211,1824.413
Plymouth,12243,21.89234236,559.2366
Pomfret,4247,40.32886639,105.3092
Portland,9508,23.35024255,407.1906
Preston,4726,30.81519142,153.3659
Prospect,9405,14.22528599,661.1467
Putnam,9584,20.30436126,472.0168
Redding,9158,31.49919459,290.7376
Ridgefield,24638,34.51536609,713.827
Rocky Hill,19709,13.45437585,1464.877
Roxbury,2262,26.3016848,86.0021
Salem,4151,28.91893862,143.5392
Salisbury,3741,57.24179108,65.35435
Scotland,1726,18.63232417,92.63471
Seymour,16540,14.5176302,1139.304
Sharon,2782,58.76518965,47.34095
Shelton,39559,30.6256863,1291.693
Sherman,3581,21.89178174,163.5774
Simsbury,23511,33.92374945,693.0543
Somers,11444,28.36848665,403.4054
South Windsor,25709,28.06282346,916.123
Southbury,19904,38.99243085,510.458
Southington,43069,35.91211079,1199.289
Sprague,2984,13.24920733,225.221
Stafford,12087,58.0361855,208.2666
Stamford,122643,37.63854041,3258.442
Sterling,3830,27.22007978,140.705
Stonington,18545,38.65646945,479.7386
Stratford,51384,17.48088254,2939.44
Suffield,15735,42.26290778,372.3123
Thomaston,7887,11.96873885,658.9667
Thompson,9458,46.90283662,201.6509
Tolland,15052,39.62700985,379.8419
Torrington,36383,39.7541116,915.2009
Trumbull,36018,23.32288335,1544.32
Union,854,28.79602531,29.65687
Vernon,29179,17.69911984,1648.613
Voluntown,2603,38.96085696,66.81065
Wallingford,45135,39.04011602,1156.119
Warren,1461,26.30878908,55.53277
Washington,3578,38.07054859,93.98341
Waterbury,110366,28.51917152,3869.888
Waterford,19517,32.76767305,595.6175
Watertown,22514,29.00569423,776.1924
West Hartford,63268,21.83704326,2897.279
West Haven,55564,10.74671234,5170.325
Westbrook,6938,15.78315884,439.5825
Weston,10179,19.79867706,514.1252
Westport,26391,19.95774961,1322.344
Wethersfield,26668,12.3102107,2166.332
Willington,6041,33.29371101,181.4457
Wilton,18062,26.80497052,673.8303
Winchester,11242,32.51216299,345.7783
Windham,25268,26.97229485,936.8131
Windsor Locks,12498,9.023590071,1385.036
Windsor,29044,29.5040533,984.4071
Wolcott,16680,20.43453483,816.2652
Woodbridge,8990,18.81179372,477.8917
Woodbury,9975,36.39874162,274.0479
Woodstock,7964,60.64526631,131.321