town,merge-towns
Bloomfield,Bloomfield-West Hartford
West Hartford,Bloomfield-West Hartford
Andover,Andover
Ansonia,Ansonia
Ashford,Ashford
Avon,Avon
Barkhamsted,Barkhamsted
Beacon Falls,Beacon Falls
Berlin,Berlin
Bethany,Bethany
Bethel,Bethel
Bethlehem,Bethlehem
Bolton,Bolton
Bozrah,Bozrah
Branford,Branford
Bridgeport,Bridgeport
Bridgewater,Bridgewater
Bristol,Bristol
Brookfield,Brookfield
Brooklyn,Brooklyn
Burlington,Burlington
Canaan,Canaan
Canterbury,Canterbury
Canton,Canton
Chaplin,Chaplin
Cheshire,Cheshire
Chester,Chester
Clinton,Clinton
Colchester,Colchester
Colebrook,Colebrook
Columbia,Columbia
Cornwall,Cornwall
Coventry,Coventry
Cromwell,Cromwell
Danbury,Danbury
Darien,Darien
Deep River,Deep River
Derby,Derby
Durham,Durham
East Granby,East Granby
East Haddam,East Haddam
East Hampton,East Hampton
East Hartford,East Hartford
East Haven,East Haven
East Lyme,East Lyme
East Windsor,East Windsor
Eastford,Eastford
Easton,Easton
Ellington,Ellington
Enfield,Enfield
Essex,Essex
Fairfield,Fairfield
Farmington,Farmington
Franklin,Franklin
Glastonbury,Glastonbury
Goshen,Goshen
Granby,Granby
Greenwich,Greenwich
Griswold,Griswold
Groton,Groton
Guilford,Guilford
Haddam,Haddam
Hamden,Hamden
Hampton,Hampton
Hartford,Hartford
Hartland,Hartland
Harwinton,Harwinton
Hebron,Hebron
Kent,Kent
Killingly,Killingly
Killingworth,Killingworth
Lebanon,Lebanon
Ledyard,Ledyard
Lisbon,Lisbon
Litchfield,Litchfield
Lyme,Lyme
Madison,Madison
Manchester,Manchester
Mansfield,Mansfield
Marlborough,Marlborough
Meriden,Meriden
Middlebury,Middlebury
Middlefield,Middlefield
Middletown,Middletown
Milford,Milford
Monroe,Monroe
Montville,Montville
Morris,Morris
Naugatuck,Naugatuck
New Britain,New Britain
New Canaan,New Canaan
New Fairfield,New Fairfield
New Hartford,New Hartford
New Haven,New Haven
New London,New London
New Milford,New Milford
Newington,Newington
Newtown,Newtown
Norfolk,Norfolk
North Branford,North Branford
North Canaan,North Canaan
North Haven,North Haven
North Stonington,North Stonington
Norwalk,Norwalk
Norwich,Norwich
Old Lyme,Old Lyme
Old Saybrook,Old Saybrook
Orange,Orange
Oxford,Oxford
Plainfield,Plainfield
Plainville,Plainville
Plymouth,Plymouth
Pomfret,Pomfret
Portland,Portland
Preston,Preston
Prospect,Prospect
Putnam,Putnam
Redding,Redding
Ridgefield,Ridgefield
Rocky Hill,Rocky Hill
Roxbury,Roxbury
Salem,Salem
Salisbury,Salisbury
Scotland,Scotland
Seymour,Seymour
Sharon,Sharon
Shelton,Shelton
Sherman,Sherman
Simsbury,Simsbury
Somers,Somers
South Windsor,South Windsor
Southbury,Southbury
Southington,Southington
Sprague,Sprague
Stafford,Stafford
Stamford,Stamford
Sterling,Sterling
Stonington,Stonington
Stratford,Stratford
Suffield,Suffield
Thomaston,Thomaston
Thompson,Thompson
Tolland,Tolland
Torrington,Torrington
Trumbull,Trumbull
Union,Union
Vernon,Vernon
Voluntown,Voluntown
Wallingford,Wallingford
Warren,Warren
Washington,Washington
Waterbury,Waterbury
Waterford,Waterford
Watertown,Watertown
West Haven,West Haven
Westbrook,Westbrook
Weston,Weston
Westport,Westport
Wethersfield,Wethersfield
Willington,Willington
Wilton,Wilton
Winchester,Winchester
Windham,Windham
Windsor,Windsor
Windsor Locks,Windsor Locks
Wolcott,Wolcott
Woodbridge,Woodbridge
Woodbury,Woodbury
Woodstock,Woodstock