Town,Population,Median household income,White alone,Black alone,Am Indian alone,Asian alone,Hawaiian alone,Other alone,Two or more races,Hispanic of any race,Pct White alone,Pct Black alone,Pct Asian alone,Pct Hispanic any race
Andover,3181,97426,2933,90,0,37,8,0,113,47,0.92,0.03,0.01,0.01
Ansonia,19128,43144,15820,1574,0,451,0,988,295,4323,0.83,0.08,0.02,0.23
Ashford,4297,77250,4092,77,18,2,0,2,106,76,0.95,0.02,0.00,0.02
Avon,18298,116565,16310,76,0,1526,0,97,289,472,0.89,0.00,0.08,0.03
Barkhamsted,3749,81792,3690,1,0,21,0,17,20,28,0.98,0.00,0.01,0.01
Beacon Falls,6065,87273,5818,36,0,111,0,0,100,385,0.96,0.01,0.02,0.06
Berlin,20352,87518,19263,197,0,649,0,95,148,569,0.95,0.01,0.03,0.03
Bethany,5546,97500,5385,1,0,95,0,0,65,72,0.97,0.00,0.02,0.01
Bethel,19078,85377,16957,293,42,850,0,389,547,1301,0.89,0.02,0.04,0.07
Bethlehem,3551,88616,3512,18,0,8,0,3,10,32,0.99,0.01,0.00,0.01
Bloomfield,20626,73519,7493,11380,44,388,16,156,1149,1073,0.36,0.55,0.02,0.05
Bolton,4963,88625,4647,60,0,100,0,56,100,224,0.94,0.01,0.02,0.05
Bozrah,2631,76307,2470,32,16,35,0,6,72,108,0.94,0.01,0.01,0.04
Branford,28066,71058,25726,335,28,1180,0,585,212,1467,0.92,0.01,0.04,0.05
Bridgeport,146680,41204,61174,53188,639,5380,65,21888,4346,57030,0.42,0.36,0.04,0.39
Bridgewater,1747,93750,1621,15,8,25,0,3,75,83,0.93,0.01,0.01,0.05
Bristol,60556,60208,53606,1911,107,1178,107,1650,1997,6476,0.89,0.03,0.02,0.11
Brookfield,16774,106920,15273,120,0,944,14,178,245,735,0.91,0.01,0.06,0.04
Brooklyn,8240,59369,7801,128,9,50,0,31,221,704,0.95,0.02,0.01,0.09
Burlington,9443,109037,9069,98,0,189,0,14,73,186,0.96,0.01,0.02,0.02
Canaan,1240,68021,1220,0,0,2,0,6,12,26,0.98,0.00,0.00,0.02
Canterbury,5110,81496,4945,37,0,28,0,0,100,0,0.97,0.01,0.01,0.00
Canton,10334,89452,9874,51,0,88,0,153,168,625,0.96,0.00,0.01,0.06
Chaplin,2256,78750,2174,24,0,0,0,0,58,118,0.96,0.01,0.00,0.05
Cheshire,29272,107716,24041,1370,21,2246,0,833,761,1982,0.82,0.05,0.08,0.07
Chester,4223,74063,4125,30,0,27,0,0,41,113,0.98,0.01,0.01,0.03
Clinton,13188,71028,12705,38,0,205,0,186,54,860,0.96,0.00,0.02,0.07
Colchester,16143,98899,15519,162,1,172,0,26,263,319,0.96,0.01,0.01,0.02
Colebrook,1594,78854,1568,5,0,10,0,0,11,25,0.98,0.00,0.01,0.02
Columbia,5472,93953,4853,126,0,57,0,0,436,0,0.89,0.02,0.01,0.00
Cornwall,1505,80234,1457,0,0,16,0,12,20,4,0.97,0.00,0.01,0.00
Coventry,12434,92663,11916,53,12,198,0,158,97,487,0.96,0.00,0.02,0.04
Cromwell,14077,80028,12017,1056,0,506,0,262,236,790,0.85,0.08,0.04,0.06
Danbury,82781,65981,53595,6060,191,4770,62,14867,3236,22465,0.65,0.07,0.06,0.27
Darien,21190,199444,19703,77,41,857,0,67,445,515,0.93,0.00,0.04,0.02
Deep River,4611,65577,4193,193,15,103,35,66,6,145,0.91,0.04,0.02,0.03
Derby,12837,52136,10648,528,0,374,0,777,510,3273,0.83,0.04,0.03,0.25
Durham,7371,117328,6934,18,62,145,0,26,186,235,0.94,0.00,0.02,0.03
East Granby,5098,71272,4509,314,0,171,0,0,104,182,0.88,0.06,0.03,0.04
East Haddam,9142,82773,8712,113,0,93,0,34,190,205,0.95,0.01,0.01,0.02
East Hampton,12936,96066,12009,83,17,463,0,161,203,730,0.93,0.01,0.04,0.06
East Hartford,51211,50355,26922,12869,396,2940,4,6339,1741,14897,0.53,0.25,0.06,0.29
East Haven,29139,61435,24874,1067,12,1400,0,1117,669,3115,0.85,0.04,0.05,0.11
East Lyme,19118,81711,15962,774,61,1069,0,575,677,1307,0.83,0.04,0.06,0.07
East Windsor,11353,72866,8758,907,51,769,8,68,792,720,0.77,0.08,0.07,0.06
Eastford,1726,73173,1636,6,2,35,0,3,44,33,0.95,0.00,0.02,0.02
Easton,7593,132000,7204,38,0,226,7,0,118,421,0.95,0.01,0.03,0.06
Ellington,15725,84339,15094,112,0,349,0,4,166,250,0.96,0.01,0.02,0.02
Enfield,44713,68162,38462,2590,201,1091,18,1394,957,3715,0.86,0.06,0.02,0.08
Essex,6643,88550,6569,27,0,13,0,1,33,106,0.99,0.00,0.00,0.02
Fairfield,60678,120082,54633,1104,21,2842,0,615,1463,3139,0.90,0.02,0.05,0.05
Farmington,25515,92933,21772,559,0,2431,11,126,616,756,0.85,0.02,0.10,0.03
Franklin,1993,93636,1931,0,8,2,0,7,45,23,0.97,0.00,0.00,0.01
Glastonbury,34661,108157,29614,820,0,3311,0,444,472,1365,0.85,0.02,0.10,0.04
Goshen,2956,81528,2897,15,18,8,0,0,18,103,0.98,0.01,0.00,0.03
Granby,11310,100262,10785,126,0,114,0,5,280,359,0.95,0.01,0.01,0.03
Greenwich,62141,135258,53882,1227,93,4134,0,1524,1281,7080,0.87,0.02,0.07,0.11
Griswold,11952,59545,11004,122,51,336,0,79,360,502,0.92,0.01,0.03,0.04
Groton,40136,60157,32051,2704,223,1988,33,749,2388,3981,0.80,0.07,0.05,0.10
Guilford,22405,99441,21351,141,11,464,17,89,332,896,0.95,0.01,0.02,0.04
Haddam,8356,99010,8095,24,0,181,0,0,56,207,0.97,0.00,0.02,0.02
Hamden,61605,67771,42355,11769,102,3072,7,2855,1445,6177,0.69,0.19,0.05,0.10
Hampton,1912,73929,1838,18,0,6,0,0,50,83,0.96,0.01,0.00,0.04
Hartford,125211,29313,44497,47956,406,3187,49,22060,7056,54603,0.36,0.38,0.03,0.44
Hartland,2211,91550,2129,14,0,37,0,8,23,49,0.96,0.01,0.02,0.02
Harwinton,5592,91802,5534,3,0,55,0,0,0,24,0.99,0.00,0.01,0.00
Hebron,9627,101974,9253,74,0,59,0,36,205,195,0.96,0.01,0.01,0.02
Kent,2951,64648,2680,194,8,10,0,7,52,7,0.91,0.07,0.00,0.00
Killingly,17281,57016,15929,346,0,463,0,163,380,770,0.92,0.02,0.03,0.04
Killingworth,6516,112344,6146,0,0,77,0,30,263,196,0.94,0.00,0.01,0.03
Lebanon,7314,90149,7043,34,0,89,0,25,123,256,0.96,0.00,0.01,0.04
Ledyard,15090,87101,12889,280,380,622,0,311,608,955,0.85,0.02,0.04,0.06
Lisbon,4340,80850,4197,1,0,10,0,40,92,38,0.97,0.00,0.00,0.01
Litchfield,8365,82188,8172,36,8,72,0,15,62,100,0.98,0.00,0.01,0.01
Lyme,2367,77500,2287,0,0,46,0,17,17,54,0.97,0.00,0.02,0.02
Madison,18284,108231,17456,67,39,432,0,68,222,211,0.95,0.00,0.02,0.01
Manchester,58270,63198,41569,7382,135,4953,18,2131,2082,8790,0.71,0.13,0.09,0.15
Mansfield,26328,66404,20857,1316,16,2723,0,194,1222,1727,0.79,0.05,0.10,0.07
Marlborough,6428,112714,6175,86,0,30,0,16,121,261,0.96,0.01,0.00,0.04
Meriden,60616,53401,46148,6263,271,729,39,5349,1817,17082,0.76,0.10,0.01,0.28
Middlebury,7575,95320,6695,129,5,560,0,47,139,167,0.88,0.02,0.07,0.02
Middlefield,4426,100694,4230,20,0,148,0,26,2,65,0.96,0.00,0.03,0.01
Middletown,47424,61373,36352,6212,94,2105,0,666,1995,4302,0.77,0.13,0.04,0.09
Milford,53039,80743,47715,1052,104,2640,0,725,803,2809,0.90,0.02,0.05,0.05
Monroe,19744,108688,18547,136,17,627,0,95,322,955,0.94,0.01,0.03,0.05
Montville,19649,67044,15472,1093,188,1171,0,453,1272,1511,0.79,0.06,0.06,0.08
Morris,2289,84464,2263,7,0,8,0,3,8,51,0.99,0.00,0.00,0.02
Naugatuck,31790,58641,27701,1682,17,886,0,560,944,3139,0.87,0.05,0.03,0.10
New Britain,73095,40515,48267,7903,128,2235,41,11752,2769,27868,0.66,0.11,0.03,0.38
New Canaan,20073,179810,18805,222,0,607,0,82,357,860,0.94,0.01,0.03,0.04
New Fairfield,14079,101750,13044,64,13,182,0,487,289,1072,0.93,0.00,0.01,0.08
New Hartford,6910,82245,6745,56,40,69,0,0,0,156,0.98,0.01,0.01,0.02
New Haven,130553,37508,57630,46052,322,6593,115,15854,3987,33935,0.44,0.35,0.05,0.26
New London,27536,41230,16795,4730,12,917,38,3630,1414,8073,0.61,0.17,0.03,0.29
New Milford,27821,79028,25060,661,0,626,0,957,517,1763,0.90,0.02,0.02,0.06
Newington,30652,79008,25361,1705,62,1871,0,934,719,2581,0.83,0.06,0.06,0.08
Newtown,27960,108667,25655,331,0,588,0,886,500,2259,0.92,0.01,0.02,0.08
Norfolk,1486,73188,1366,13,12,21,0,2,72,5,0.92,0.01,0.01,0.00
North Branford,14387,87408,13833,154,1,217,0,27,155,365,0.96,0.01,0.02,0.03
North Canaan,3262,63607,3065,40,0,145,0,0,12,102,0.94,0.01,0.04,0.03
North Haven,23997,84078,21329,737,83,1459,0,63,326,891,0.89,0.03,0.06,0.04
North Stonington,5293,78854,4880,113,23,91,0,21,165,165,0.92,0.02,0.02,0.03
Norwalk,87214,76051,63515,13386,297,4606,66,3305,2039,19109,0.73,0.15,0.05,0.22
Norwich,40378,49695,27578,4614,440,3289,73,1270,3114,5674,0.68,0.11,0.08,0.14
Old Lyme,7587,87817,7305,13,5,185,0,23,56,101,0.96,0.00,0.02,0.01
Old Saybrook,10222,74896,9513,104,0,387,9,111,98,129,0.93,0.01,0.04,0.01
Orange,13947,105190,12423,203,0,1058,0,73,190,662,0.89,0.01,0.08,0.05
Oxford,12831,98504,12485,41,0,122,0,29,154,584,0.97,0.00,0.01,0.05
Plainfield,15270,62630,14193,322,89,153,0,126,387,552,0.93,0.02,0.01,0.04
Plainville,17791,55506,16382,599,26,342,0,182,260,1290,0.92,0.03,0.02,0.07
Plymouth,12085,71441,11467,132,10,31,0,218,227,534,0.95,0.01,0.00,0.04
Pomfret,4216,91625,4064,44,11,80,0,0,17,54,0.96,0.01,0.02,0.01
Portland,9483,82770,9129,101,20,59,0,33,141,290,0.96,0.01,0.01,0.03
Preston,4735,67069,3958,102,0,364,0,32,279,149,0.84,0.02,0.08,0.03
Prospect,9615,100592,9150,299,0,69,0,37,60,299,0.95,0.03,0.01,0.03
Putnam,9515,46418,9076,50,18,41,48,23,259,316,0.95,0.01,0.00,0.03
Redding,9267,121667,8805,124,0,118,0,9,211,301,0.95,0.01,0.01,0.03
Ridgefield,25025,147936,23793,163,32,512,0,228,297,1297,0.95,0.01,0.02,0.05
Rocky Hill,19838,75442,16159,526,173,2124,0,392,464,1341,0.81,0.03,0.11,0.07
Roxbury,2273,90078,2221,0,0,14,0,30,8,66,0.98,0.00,0.01,0.03
Salem,4176,104583,3826,69,20,119,0,34,108,91,0.92,0.02,0.03,0.02
Salisbury,3708,84141,3458,115,0,39,0,8,88,139,0.93,0.03,0.01,0.04
Scotland,1709,77344,1664,3,3,0,0,16,23,79,0.97,0.00,0.00,0.05
Seymour,16551,77465,14723,672,175,499,0,293,189,1478,0.89,0.04,0.03,0.09
Sharon,2746,72083,2509,7,14,61,0,0,155,14,0.91,0.00,0.02,0.01
Shelton,40472,88369,37924,418,23,1350,0,457,300,2211,0.94,0.01,0.03,0.05
Sherman,3636,115442,3491,0,0,69,0,28,48,71,0.96,0.00,0.02,0.02
Simsbury,23681,109823,21420,573,0,1055,33,153,447,1189,0.90,0.02,0.04,0.05
Somers,11431,95139,9660,888,23,301,0,368,191,715,0.85,0.08,0.03,0.06
South Windsor,25795,94217,20939,1328,70,2650,47,349,412,1436,0.81,0.05,0.10,0.06
Southbury,19876,76896,18460,402,0,671,0,92,251,846,0.93,0.02,0.03,0.04
Southington,43509,81285,41391,529,12,932,0,203,442,1483,0.95,0.01,0.02,0.03
Sprague,2993,67076,2731,48,42,35,0,0,137,74,0.91,0.02,0.01,0.02
Stafford,12013,62859,11506,45,0,203,0,46,213,280,0.96,0.00,0.02,0.02
Stamford,125401,77221,75344,17077,198,10625,27,18992,3138,33864,0.60,0.14,0.08,0.27
Sterling,3809,71696,3640,41,13,17,0,30,68,38,0.96,0.01,0.00,0.01
Stonington,18539,81673,17302,176,13,392,0,298,358,685,0.93,0.01,0.02,0.04
Stratford,52092,66451,39751,7895,319,1518,0,1465,1144,7363,0.76,0.15,0.03,0.14
Suffield,15764,94610,12989,1580,23,261,0,408,503,983,0.82,0.10,0.02,0.06
Thomaston,7793,73679,7431,54,38,44,0,22,204,177,0.95,0.01,0.01,0.02
Thompson,9390,67519,9083,38,26,37,0,72,134,153,0.97,0.00,0.00,0.02
Tolland,14971,107290,14390,50,0,256,0,30,245,683,0.96,0.00,0.02,0.05
Torrington,35774,55460,32017,1026,11,1184,0,623,913,3062,0.89,0.03,0.03,0.09
Trumbull,36444,108554,32753,782,20,1598,0,601,690,2945,0.90,0.02,0.04,0.08
Union,950,84405,929,4,8,0,0,4,5,38,0.98,0.00,0.00,0.04
Vernon,29162,60556,24764,1693,11,1028,0,800,866,2155,0.85,0.06,0.04,0.07
Voluntown,2602,75086,2450,0,9,13,0,19,111,45,0.94,0.00,0.00,0.02
Wallingford,45154,75533,40771,861,102,1510,0,1272,638,4127,0.90,0.02,0.03,0.09
Warren,1390,100250,1355,0,0,10,0,3,22,43,0.97,0.00,0.01,0.03
Washington,3529,77125,3371,0,0,40,0,84,34,278,0.96,0.00,0.01,0.08
Waterbury,109887,41136,66833,21698,192,1978,31,13597,5558,37606,0.61,0.20,0.02,0.34
Waterford,19499,75181,17300,433,54,745,0,459,508,1273,0.89,0.02,0.04,0.07
Watertown,22286,78767,20998,378,56,235,0,442,177,1068,0.94,0.02,0.01,0.05
West Hartford,63396,84092,51096,4485,34,4194,10,1598,1979,6259,0.81,0.07,0.07,0.10
West Haven,55290,49993,36330,12190,204,1918,5,2790,1853,10647,0.66,0.22,0.03,0.19
Westbrook,6916,78417,6665,29,0,15,0,113,94,353,0.96,0.00,0.00,0.05
Weston,10319,208078,9538,137,0,347,0,30,267,377,0.92,0.01,0.03,0.04
Westport,27055,151771,24360,228,19,1622,0,228,598,1239,0.90,0.01,0.06,0.05
Wethersfield,26579,78008,23003,1172,8,1024,44,471,857,2821,0.87,0.04,0.04,0.11
Willington,5994,73384,5743,0,0,90,0,0,161,356,0.96,0.00,0.02,0.06
Wilton,18519,175019,16729,162,31,1188,0,60,349,438,0.90,0.01,0.06,0.02
Winchester,11089,60163,10337,161,52,289,0,28,222,974,0.93,0.01,0.03,0.09
Windham,25271,41019,19776,1425,160,501,0,2132,1277,8819,0.78,0.06,0.02,0.35
Windsor,29130,79244,15126,10975,12,1109,0,664,1244,2373,0.52,0.38,0.04,0.08
Windsor Locks,12554,67222,10708,563,12,965,0,3,303,548,0.85,0.04,0.08,0.04
Wolcott,16724,83317,15866,296,0,263,0,114,185,1041,0.95,0.02,0.02,0.06
Woodbridge,8969,134045,7666,136,3,1083,0,3,78,265,0.85,0.02,0.12,0.03
Woodbury,9851,84868,9313,22,0,300,0,148,68,433,0.95,0.00,0.03,0.04
Woodstock,7916,70927,7623,33,0,14,0,0,246,275,0.96,0.00,0.00,0.03