name,income-per-capita-2015
Alabama,24769
Alaska,34352
Arizona,26721
Arkansas,23589
California,31587
Colorado,33563
Connecticut,39430
Delaware,31441
District of Columbia,50187
Florida,27697
Georgia,26810
Hawaii,31052
Idaho,24273
Illinois,31867
Indiana,26396
Iowa,28628
Kansas,28852
Kentucky,25082
Louisiana,25456
Maine,28437
Maryland,37522
Massachusetts,38130
Michigan,27865
Minnesota,33425
Mississippi,21291
Missouri,27384
Montana,27735
Nebraska,29000
Nevada,27220
New Hampshire,35925
New Jersey,37245
New Mexico,24388
New York,34297
North Carolina,26801
North Dakota,34063
Ohio,28001
Oklahoma,25762
Oregon,29117
Pennsylvania,30384
Puerto Rico,11677
Rhode Island,31888
South Carolina,25627
South Dakota,27624
Tennessee,26216
Texas,28210
Utah,25816
Vermont,31216
Virginia,34780
Washington,33486
West Virginia,23539
Wisconsin,29563
Wyoming,31383