name,Population 2010,Land Area in Square Miles
Alabama,"4,779,736","50,645"
Alaska,"710,231","570,641"
Arizona,"6,392,017","113,594"
Arkansas,"2,915,918","52,035"
California,"37,253,956","155,779"
Colorado,"5,029,196","103,642"
Connecticut,"3,574,097","4,842"
Delaware,"897,934","1,949"
District of Columbia,"601,723",61
Florida,"18,801,310","53,625"
Georgia,"9,687,653","57,513"
Hawaii,"1,360,301","6,423"
Idaho,"1,567,582","82,643"
Illinois,"12,830,632","55,519"
Indiana,"6,483,802","35,826"
Iowa,"3,046,355","55,857"
Kansas,"2,853,118","81,759"
Kentucky,"4,339,367","39,486"
Louisiana,"4,533,372","43,204"
Maine,"1,328,361","30,843"
Maryland,"5,773,552","9,707"
Massachusetts,"6,547,629","7,800"
Michigan,"9,883,640","56,539"
Minnesota,"5,303,925","79,627"
Mississippi,"2,967,297","46,923"
Missouri,"5,988,927","68,742"
Montana,"989,415","145,546"
Nebraska,"1,826,341","76,824"
Nevada,"2,700,551","109,781"
New Hampshire,"1,316,470","8,953"
New Jersey,"8,791,894","7,354"
New Mexico,"2,059,179","121,298"
New York,"19,378,102","47,126"
North Carolina,"9,535,483","48,618"
North Dakota,"672,591","69,001"
Ohio,"11,536,504","40,861"
Oklahoma,"3,751,351","68,595"
Oregon,"3,831,074","95,988"
Pennsylvania,"12,702,379","44,743"
Rhode Island,"1,052,567","1,034"
South Carolina,"4,625,364","30,061"
South Dakota,"814,180","75,811"
Tennessee,"6,346,105","41,235"
Texas,"25,145,561","261,232"
Utah,"2,763,885","82,170"
Vermont,"625,741","9,217"
Virginia,"8,001,024","39,490"
Washington,"6,724,540","66,456"
West Virginia,"1,852,994","24,038"
Wisconsin,"5,686,986","54,158"
Wyoming,"563,626","97,093"
Puerto Rico,"3,725,789","3,424"
TOTAL,"312,471,327","3,535,329"